name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Cystopteris ulei,Woodsiaceae,Cystopteris,ulei,spec.,"Pl. Nov. Mineir. 2: 30. 1900 ; & Bull. Herb. Boiss. Ser. 2, 2: 637.  1902.--Brazil",Pl. Nov. Mineir.,1900,Brazil (Southern America),75701-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=30&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/75701-2,tax_nov,IPNI,NA
Diplazium adnatum,Woodsiaceae,Diplazium,adnatum,spec.,Syst. Bot. 38(4): 910. 2014 [2013 publ. 1 Jan 2014] ,Syst. Bot.,2014,"Espírito Santo (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);",77136131-1,NA,doi:10.1600/036364413X674841,www.ipni.org/n/77136131-1,tax_nov,IPNI,https://doi.org/10.1600/036364413X674841
Diplazium brachycarpum,Woodsiaceae,Diplazium,brachycarpum,spec.,Syst. Bot. 38(4): 913. 2014 [2013 publ. 1 Jan 2014] ,Syst. Bot.,2014,"São Paulo (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);Santa Catarina (Brazil South, Brazil, Southern America);",77136132-1,NA,doi:10.1600/036364413X674841,www.ipni.org/n/77136132-1,tax_nov,IPNI,https://doi.org/10.1600/036364413X674841
Diplazium brasiliense,Woodsiaceae,Diplazium,brasiliense,spec.,Hedwigia 46: 107. 1906 ,Hedwigia,1906,Brazil (Southern America),81508-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=107&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/81508-2,tax_nov,IPNI,NA
Diplazium fimbriatum,Woodsiaceae,Diplazium,fimbriatum,spec.,"Amer. Fern J. 102(2): 168, f.1-2. 2012 [17 Jul 2012] ",Amer. Fern J.,2012,"Bahia (Brazil, Southern America)",60458795-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=2012&rft.issue=2&rft.spage=168&rft.volume=102&rft_id=http://www.biodiversitylibrary.org/bibliography/43943&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"doi:10.1640/0002-8444-102.2.167 Etymology: From Latin “fimbriatus,” fringed; referring to the fimbriate margins of the indusia.",www.ipni.org/n/60458795-2,tax_nov,IPNI,https://doi.org/10.1640/0002-8444-102.2.167
Diplazium intercalatum,Woodsiaceae,Diplazium,intercalatum,spec.,"Pl. Nov. Mineir. 2: 29. 1900 ; & Bull. Herb. Boiss. Ser. 2, 2: 558.  1902. -- Brazil (Santa Catharina)",Pl. Nov. Mineir.,1900,"Santa Catarina (Brazil, Southern America)",81569-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=29&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/81569-2,tax_nov,IPNI,NA
Diplazium jaraguae,Woodsiaceae,Diplazium,jaraguae,spec.,Hedwigia 56: 363. 1915 ,Hedwigia,1915,Brazil (Southern America),81570-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=363&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/81570-2,tax_nov,IPNI,NA
Diplazium mickelii,Woodsiaceae,Diplazium,mickelii,spec.,Kew Bull. 64(3): 549 (-551; f.1). 2009 ,Kew Bull.,2009,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",77102896-1,NA,NA,www.ipni.org/n/77102896-1,tax_nov,IPNI,NA
Diplazium tamandarei,Woodsiaceae,Diplazium,tamandarei,spec.,Hedwigia 56: 364. 1915 ,Hedwigia,1915,Brazil (Southern America),81650-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1915&rft.spage=364&rft.volume=56&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/81650-2,tax_nov,IPNI,NA
Diplazium turgidum,Woodsiaceae,Diplazium,turgidum,spec.,Hedwigia 46: 109. 1906 ,Hedwigia,1906,Brazil (Southern America),81662-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=109&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi; J. Cislinski, Acta Bot. Bras. 10: 69. 1996]",www.ipni.org/n/81662-2,tax_nov,IPNI,NA
