name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Acrostichum elegans,622979,Acrostichum elegans,3710-2,Pteridaceae,Acrostichum,elegans,spec.,"Crypt. Vasc. Bresil 2: 11, t.85, f.1. 1873 , printed 'Acrostichon' in Bot. Jahrb. Syst",Crypt. Vasc. Bresil,1873,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1873&rft.spage=11&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3710-2,tax_nov,IPNI,NA
Acrostichum galvinii,617286,Acrostichum galvinii,3732-2,Pteridaceae,Acrostichum,galvinii,spec.,Ann. Bot. (Oxford) 5(4): 492. 1891 [Nov 1891] ,Ann. Bot. (Oxford),1891,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.issue=4&rft.spage=492&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/136214&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3732-2,tax_nov,IPNI,NA
Acrostichum gracile,110006,Acrostichum gracile,17003320-1,Pteridaceae,Acrostichum,gracile,spec.,"Crypt. Vasc. Bresil 2: 8, t.83, f.2. 1873 ",Crypt. Vasc. Bresil,1873,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1873&rft.spage=8&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17003320-1,tax_nov,IPNI,NA
Acrostichum macahense,110017,Acrostichum macahense,17004520-1,Pteridaceae,Acrostichum,macahense,spec.,"Crypt. Vasc. Bresil 2: 2, t.79, f.1. 1873 ",Crypt. Vasc. Bresil,1873,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1873&rft.spage=2&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17004520-1,tax_nov,IPNI,NA
Acrostichum macrorhizum,110019,Acrostichum macrorhizum,3783-2,Pteridaceae,Acrostichum,macrorhizum,spec.,Ann. Bot. (Oxford) 5(4): 490. 1891 [Nov 1891] ,Ann. Bot. (Oxford),1891,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.issue=4&rft.spage=490&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/136214&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3783-2,tax_nov,IPNI,NA
Acrostichum miersii,110021,Acrostichum miersii,3789-2,Pteridaceae,Acrostichum,miersii,spec.,Ann. Bot. (Oxford) 5(4): 490. 1891 [Nov 1891] ,Ann. Bot. (Oxford),1891,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1891&rft.issue=4&rft.spage=490&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/136214&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/3789-2,tax_nov,IPNI,NA
Acrostichum mollissimum,616416,Acrostichum mollissimum,17004890-1,Pteridaceae,Acrostichum,mollissimum,spec.,"Crypt. Vasc. Bresil 1: 7, t.2, f.3. 1869 ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=7&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17004890-1,tax_nov,IPNI,NA
Acrostichum praelongum,615377,Acrostichum praelongum,17005830-1,Pteridaceae,Acrostichum,praelongum,spec.,"Crypt. Vasc. Bresil 1: 9, t.3, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=9&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17005830-1,tax_nov,IPNI,NA
Acrostichum spissum,617252,Acrostichum spissum,17007070-1,Pteridaceae,Acrostichum,spissum,spec.,"Crypt. Vasc. Bresil 1: 8, t.2, f.2. 1869 ",Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=8&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/17007070-1,tax_nov,IPNI,NA
Litobrochia angustata,91977,Litobrochia angustata,311939-2,Pteridaceae,Litobrochia,angustata,spec.,Crypt. Vasc. Bresil 1: 49. 1869 ,Crypt. Vasc. Bresil,1869,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1869&rft.spage=49&rft.volume=1&rft_id=http://www.biodiversitylibrary.org/bibliography/110137&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/311939-2,tax_nov,IPNI,NA
