name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Hymenophyllum angustum,Hymenophyllaceae,Hymenophyllum,angustum,spec.,Ned. Kruidk. Arch. 5(3): 183. 1863 ,Ned. Kruidk. Arch.,1863,Brazil (Southern America),125697-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1863&rft.issue=3&rft.spage=183&rft.volume=5&rft_id=http://www.biodiversitylibrary.org/bibliography/3629&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/125697-2,tax_nov,IPNI,NA
Hymenophyllum bradeanum,Hymenophyllaceae,Hymenophyllum,bradeanum,spec.,Syst. Bot. 48(2): 180. 2023 [23 Jun 2023] ,Syst. Bot.,2023,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",77324808-1,NA,doi:10.1600/036364423X16847773873062 Etymology: named in honour of pteridologist Alexander Curt Brade (1881–1971).,www.ipni.org/n/77324808-1,tax_nov,IPNI,https://doi.org/10.1600/036364423X16847773873062
Hymenophyllum brasilianum,Hymenophyllaceae,Hymenophyllum,brasilianum,spec.,Hedwigia 46: 73. 1906 ,Hedwigia,1906,Brazil (Southern America),125707-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1906&rft.spage=73&rft.volume=46&rft_id=http://www.biodiversitylibrary.org/bibliography/698&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/125707-2,tax_nov,IPNI,NA
Hymenophyllum caparaoense,Hymenophyllaceae,Hymenophyllum,caparaoense,spec.,"Arch. Jard. Bot. Rio de Janeiro 11: [21], t.1. 1951 ",Arch. Jard. Bot. Rio de Janeiro,1951,"Minas Gerais (Brazil, Southern America)",125712-2,NA,NA,www.ipni.org/n/125712-2,tax_nov,IPNI,NA
Hymenophyllum delicatulum,Hymenophyllaceae,Hymenophyllum,delicatulum,spec.,"Sellowia 7: 304, t.1, f.6. 1956 ",Sellowia,1956,"Rio Grande do Sul (Brazil, Southern America)",125745-2,NA,NA,www.ipni.org/n/125745-2,tax_nov,IPNI,NA
Hymenophyllum elatius,Hymenophyllaceae,Hymenophyllum,elatius,spec.,"Pl. Nov. Mineir. 2: 13. 1900 ; & Bull. Herb. Boiss. ser. 2, 2: 319.  1902.  Brazil (Santa Catharina)",Pl. Nov. Mineir.,1900,"Santa Catarina (Brazil, Southern America)",125754-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=13&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/886&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/125754-2,tax_nov,IPNI,NA
Hymenophyllum elegans,Hymenophyllaceae,Hymenophyllum,elegans,spec.,"Syst. Veg., ed. 16 [Sprengel] 4(1): 133. 1827 [shortly before 7 Jan 1827] ","Syst. Veg., ed. 16 [Sprengel]",1827,Brazil (Southern America),125755-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1827&rft.issue=1&rft.spage=133&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/822&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/125755-2,tax_nov,IPNI,NA
Hymenophyllum glaziovii,Hymenophyllaceae,Hymenophyllum,glaziovii,spec.,"Hooker's Icon. Pl. ser. 3, 7: t.1612. 1886 ",Hooker's Icon. Pl.,1886,Brazil (Southern America),125776-2,NA,NA,www.ipni.org/n/125776-2,tax_nov,IPNI,NA
Hymenophyllum prionema,Hymenophyllaceae,Hymenophyllum,prionema,spec.,Fl. Bras. (Martius) 1(2): 284. 1859 [15 Jul 1859] ,Fl. Bras. (Martius),1859,Brazil (Southern America),125847-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/134447&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/125847-2,tax_nov,IPNI,NA
Hymenophyllum sampaioanum,Hymenophyllaceae,Hymenophyllum,sampaioanum,spec.,"Bol. Mus. Nac. Rio de Janeiro 7(3): 136, pl.1, f.II; pl.3, f.1. 1931 ",Bol. Mus. Nac. Rio de Janeiro,1931,"Rio de Janeiro (Brazil, Southern America)",125866-2,NA,NA,www.ipni.org/n/125866-2,tax_nov,IPNI,NA
