name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Valeriana bornmuelleri,Valerianaceae,Valeriana,bornmuelleri,spec.,Annuaire Conserv. Jard. Bot. Genève 20: 424. 1919 ,Annuaire Conserv. Jard. Bot. Genève,1919,Brazil (Southern America),262145-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1919&rft.spage=424&rft.volume=20&rft_id=http://www.biodiversitylibrary.org/bibliography/52147&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/262145-2,tax_nov,IPNI,NA
Valeriana candolleana,Valerianaceae,Valeriana,candolleana,spec.,London J. Bot. 4: 112. 1845 ,London J. Bot.,1845,Brazil (Southern America),286618-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1845&rft.spage=112&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/235&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/286618-2,tax_nov,IPNI,NA
Valeriana caparaoensis,Valerianaceae,Valeriana,caparaoensis,spec.,Syst. Bot. 45(1): 219. 2020 [25 Feb 2020] [epublished],Syst. Bot.,2020,"Minas Gerais (Brazil Southeast, Brazil, Southern America);Espírito Santo (Brazil Southeast, Brazil, Southern America);",77208906-1,NA,doi:10.1600/036364420X15801369352496,www.ipni.org/n/77208906-1,tax_nov,IPNI,https://doi.org/10.1600/036364420X15801369352496
Valeriana catharinensis,Valerianaceae,Valeriana,catharinensis,spec.,Bot. Jahrb. Syst. 26(3-4): 427. 1899 [31 Jan 1899] ,Bot. Jahrb. Syst.,1899,Brazil (Southern America),262161-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1899&rft.spage=427&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/262161-2,tax_nov,IPNI,NA
Valeriana eupatoria,Valerianaceae,Valeriana,eupatoria,spec.,Novon 10(2): 149 (-152; figs. 1-2). 2000 [30 Jun 2000] ,Novon,2000,"Linha Quinze, Gramado, 29°20'S, 50°33'W, Rio Grande do Sul (Brazil, Southern America)",320091-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641473&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 19 Jul 2000],www.ipni.org/n/320091-2,tax_nov,IPNI,NA
Valeriana glaziovii,Valerianaceae,Valeriana,glaziovii,spec.,"Bot. Jahrb. Syst. 15(5, Beibl. 38): 10. 1893 [24 Feb 1893] ",Bot. Jahrb. Syst.,1893,Brazil (Southern America),262223-2,NA,NA,www.ipni.org/n/262223-2,tax_nov,IPNI,NA
Valeriana glechomifolia,Valerianaceae,Valeriana,glechomifolia,spec.,"Madroño 15: 197, fig. 1. 1960 ",Madroño,1960,"Santa Catarina (Brazil, Southern America)",262224-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1960&rft.spage=197&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/65344&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/262224-2,tax_nov,IPNI,NA
Valeriana iganciana,Valerianaceae,Valeriana,iganciana,spec.,Phytotaxa 364(3): 276. 2018 [14 Aug 2018] [epublished],Phytotaxa,2018,"Santa Catarina (Brazil South, Brazil, Southern America)",77187879-1,NA,doi:10.11646/phytotaxa.364.3.7 The specific epithet honours the botanist João Iganci.,www.ipni.org/n/77187879-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.364.3.7
Valeriana reitziana,Valerianaceae,Valeriana,reitziana,spec.,Lilloa 31: 161. 1962 ,Lilloa,1962,Brazil (Southern America),262329-2,NA,NA,www.ipni.org/n/262329-2,tax_nov,IPNI,NA
Valeriana sobraliana,Valerianaceae,Valeriana,sobraliana,spec.,Phytotaxa 423(1): 13. 2019 [31 Oct 2019] [epublished],Phytotaxa,2019,"Santa Catarina (Brazil South, Brazil, Southern America);Paraná (Brazil South, Brazil, Southern America);",77202921-1,NA,"doi:10.11646/phytotaxa.423.1.2 The new species is named in honour of the Brazilian botanist Marcos Sobral, great researcher and collector of Valerianaceae in Southern Brazil, the first to mention the morphological specificities of the material here analyzed.",www.ipni.org/n/77202921-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.423.1.2
Valeriana tajuvensis,Valerianaceae,Valeriana,tajuvensis,spec.,"Novon 9(1): 114 (-117, fig.). 1999 ",Novon,1999,"Mun. Morrinhos do Sul: Tajuva, 29°21'S, 49°58'W, Rio Grande do Sul (Brazil, Southern America)",317575-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/640845&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 26 Mar 1999],www.ipni.org/n/317575-2,tax_nov,IPNI,NA
Valeriana ulei,Valerianaceae,Valeriana,ulei,spec.,Bot. Jahrb. Syst. 26(3-4): 436. 1899 [31 Jan 1899] ,Bot. Jahrb. Syst.,1899,Brazil (Southern America),262392-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1899&rft.spage=436&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/262392-2,tax_nov,IPNI,NA
