name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Compsoneura racemosa,79425,Compsoneura racemosa,64009-2,Myristicaceae,Compsoneura,racemosa,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 11: 582. 1932 ,Notizbl. Bot. Gart. Berlin-Dahlem,1932,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1932&rft.spage=582&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/64009-2,tax_nov,IPNI,NA
Compsoneura ulei,23942,Compsoneura ulei,64013-2,Myristicaceae,Compsoneura,ulei,spec.,Verh. Bot. Vereins Prov. Brandenburg 47: 136. 1905 ,Verh. Bot. Vereins Prov. Brandenburg,1905,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=136&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/64013-2,tax_nov,IPNI,NA
Iryanthera campinae,85813,Iryanthera campinae,130199-2,Myristicaceae,Iryanthera,campinae,spec.,"Acta Amazonica 12(2): 295 (-297), fig. 1982 ",Acta Amazonica,1982,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/130199-2,tax_nov,IPNI,NA
Iryanthera coriacea,85814,Iryanthera coriacea,130201-2,Myristicaceae,Iryanthera,coriacea,spec.,J. Wash. Acad. Sci. 26: 218. 1936 ,J. Wash. Acad. Sci.,1936,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=218&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/130201-2,tax_nov,IPNI,NA
Iryanthera crassifolia,85816,Iryanthera crassifolia,130202-2,Myristicaceae,Iryanthera,crassifolia,spec.,Brittonia 2: 431. 1938 ,Brittonia,1938,Peru (Loreto) &amp; Brazil (Amazonas),NA,NA,www.ipni.org/n/130202-2,tax_nov,IPNI,NA
Iryanthera dialyandra,85817,Iryanthera dialyandra,130204-2,Myristicaceae,Iryanthera,dialyandra,spec.,J. Wash. Acad. Sci. 26: 215. 1936 ,J. Wash. Acad. Sci.,1936,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=215&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/130204-2,tax_nov,IPNI,NA
Iryanthera elliptica,23944,Iryanthera elliptica,130205-2,Myristicaceae,Iryanthera,elliptica,spec.,J. Wash. Acad. Sci. 26: 219. 1936 ,J. Wash. Acad. Sci.,1936,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=219&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/130205-2,tax_nov,IPNI,NA
Iryanthera grandis,85823,Iryanthera grandis,130208-2,Myristicaceae,Iryanthera,grandis,spec.,J. Wash. Acad. Sci. 26: 220. 1936 ,J. Wash. Acad. Sci.,1936,"Amazonas &amp; Para, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=220&rft.volume=26&rft_id=http://www.biodiversitylibrary.org/bibliography/2087&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/130208-2,tax_nov,IPNI,NA
Iryanthera inpae,85825,Iryanthera inpae,130209-2,Myristicaceae,Iryanthera,inpae,spec.,"Acta Amazonica 11(4): 852, fig. 1981 ",Acta Amazonica,1981,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/130209-2,tax_nov,IPNI,NA
Iryanthera juruensis,23945,Iryanthera juruensis,130210-2,Myristicaceae,Iryanthera,juruensis,spec.,Verh. Bot. Vereins Prov. Brandenburg 47: 137. 1905 ,Verh. Bot. Vereins Prov. Brandenburg,1905,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1905&rft.spage=137&rft.volume=47&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/130210-2,tax_nov,IPNI,NA
