name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Portulaca catharinae,Portulacaceae,Portulaca,catharinae,spec.,Repert. Spec. Nov. Regni Veg. 49: 211. 1940 ,Repert. Spec. Nov. Regni Veg.,1940,"Santa Catarina (Brazil, Southern America)",208544-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=211&rft.volume=49&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/208544-2,tax_nov,IPNI,NA
Portulaca conico-operculata,Portulacaceae,Portulaca,conico-operculata,spec.,Repert. Spec. Nov. Regni Veg. 33: 158. 1933 ,Repert. Spec. Nov. Regni Veg.,1933,Brazil (Southern America),208553-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1933&rft.spage=158&rft.volume=33&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/208553-2,tax_nov,IPNI,NA
Portulaca diegoi,Portulacaceae,Portulaca,diegoi,spec.,Loefgrenia 85: [1] (1984). ,Loefgrenia,1984,Brazil.,905011-1,NA,NA,www.ipni.org/n/905011-1,tax_nov,IPNI,NA
Portulaca eitenii,Portulacaceae,Portulaca,eitenii,spec.,Phytologia 16: 57. 1968 ,Phytologia,1968,"Maranhao (Brazil, Southern America)",208574-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1968&rft.spage=57&rft.volume=16&rft_id=http://www.biodiversitylibrary.org/bibliography/12678&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/208574-2,tax_nov,IPNI,NA
Portulaca frieseana,Portulacaceae,Portulaca,frieseana,spec.,Repert. Spec. Nov. Regni Veg. 48: 117. 1940 ,Repert. Spec. Nov. Regni Veg.,1940,"Mato Grosso (Brazil, Southern America)",208587-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=117&rft.volume=48&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/208587-2,tax_nov,IPNI,NA
Portulaca giuliettiae,Portulacaceae,Portulaca,giuliettiae,spec.,Phytotaxa 270(2): 106. 2016 [17 Aug 2016] [epublished],Phytotaxa,2016,"Bahia (Brazil Northeast, Brazil, Southern America)",77157346-1,NA,"doi:10.11646/phytotaxa.270.2.3 the epithet honors Dr. Ana Maria Giulietti Harley a Botanist who encouraged taxonomic studies on various plant families in Brazil, including Portulacaceae",www.ipni.org/n/77157346-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.270.2.3
Portulaca glazioviana,Portulacaceae,Portulaca,glazioviana,spec.,"Comun. Bot. Mus. Hist. Nat. Montevideo 2, (no. 27): 7, tab. 4. 1953 ",Comun. Bot. Mus. Hist. Nat. Montevideo,1953,"Rio de Janeiro (Brazil, Southern America)",208590-2,NA,NA,www.ipni.org/n/208590-2,tax_nov,IPNI,NA
Portulaca goiasensis,Portulacaceae,Portulaca,goiasensis,spec.,Phytotaxa 270(2): 109. 2016 [17 Aug 2016] [epublished],Phytotaxa,2016,"Goiás (Brazil West-Central, Brazil, Southern America)",77157347-1,NA,"doi:10.11646/phytotaxa.270.2.3 The epithet refers to the geographical distribution of this new species, here considered as endemic to the Chapada dos Veadeiros, Goiás, in central Brazil",www.ipni.org/n/77157347-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.270.2.3
Portulaca hatschbachii,Portulacaceae,Portulaca,hatschbachii,spec.,Anales Mus. Nac. Montevideo (ser. 2) 7(3): 105. 1962 ,Anales Mus. Nac. Montevideo,1962,"Paraná (Brazil, Southern America)",208607-2,NA,NA,www.ipni.org/n/208607-2,tax_nov,IPNI,NA
Portulaca hirsutissima,Portulacaceae,Portulaca,hirsutissima,spec.,Portulac. Crassul. Bras. Merid. Syn. 1. 1829 [Nov 1829] ,Portulac. Crassul. Bras. Merid. Syn.,1829,"Minas Gerais (Brazil, Southern America)",30199757-2,NA,See also in: Fl. Bras. Merid. (A. St.-Hil.). 2(15): 191 (-192; t. 114) (1830).,www.ipni.org/n/30199757-2,tax_nov,IPNI,NA
Portulaca hoehnei,Portulacaceae,Portulaca,hoehnei,spec.,"Comun. Bot. Mus. Hist. Nat. Montevideo 3(33): 3, tab. 1B. 1959 ",Comun. Bot. Mus. Hist. Nat. Montevideo,1959,"Mato Grosso (Brazil, Southern America)",208609-2,NA,NA,www.ipni.org/n/208609-2,tax_nov,IPNI,NA
