name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Aneilema semifoliatum,48358,Aneilema semifoliatum,13219-2,Commelinaceae,Aneilema,semifoliatum,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 498. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/13219-2,tax_nov,IPNI,NA
Athyrocarpus pseudomonosperma,280781,Athyrocarpus pseudomonosperma,26167-2,Commelinaceae,Athyrocarpus,pseudomonosperma,spec.,Revis. Gen. Pl. 3[3]: 319. 1898 [28 Sep 1898] ,Revis. Gen. Pl.,1898,"Mato Grosso (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/3537&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/26167-2,tax_nov,IPNI,NA
Chamaeanthus wittianus,48394,Chamaeanthus wittianus,54303-2,Commelinaceae,Chamaeanthus,wittianus,spec.,Verh. Bot. Vereins Prov. Brandenburg 50: 71 (-72). 1908 [10 Jun 1908] ,Verh. Bot. Vereins Prov. Brandenburg,1908,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=71&rft.volume=50&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/54303-2,tax_nov,IPNI,NA
Commelina catharinensis,582459,Commelina catharinensis,77152929-1,Commelinaceae,Commelina,catharinensis,spec.,Phytotaxa 246(1): 50. 2016 [5 Feb 2016] [epublished],Phytotaxa,2016,"Santa Catarina (Brazil South, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.246.1.4,www.ipni.org/n/77152929-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.246.1.4
Commelina huntii,603614,Commelina huntii,60474145-2,Commelinaceae,Commelina,huntii,spec.,PhytoKeys 78: 67. 2017 [5 Apr 2017] [epublished],PhytoKeys,2017,"Rio de Janeiro (Brazil Southeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);São Paulo (Brazil Southeast, Brazil, Southern America);",NA,"doi:10.3897/phytokeys.78.11932 this species is named after the British botanist Dr. David R.Hunt, in honor of his extensive contribution to Commelinaceae systematics worldwide, especially for his contributions to Tradescantieae and the Phaeosphaerion group of Commelina",www.ipni.org/n/60474145-2,tax_nov,IPNI,https://doi.org/10.3897/phytokeys.78.11932
Commelina rufipes,16914,Commelina rufipes,63910-2,Commelinaceae,Commelina,rufipes,spec.,Fl. Bras. (Martius) 3(1): 265. 1855 [15 Sep 1855] ,Fl. Bras. (Martius),1855,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/135615&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/63910-2,tax_nov,IPNI,NA
Commelina vilavelhensis,127998,Commelina vilavelhensis,77123767-1,Commelinaceae,Commelina,vilavelhensis,spec.,Fontqueria 56(31): 294. 2012 [26 Nov 2012] ,Fontqueria,2012,"Paraná (Brazil South, Brazil, Southern America)",NA,NA,www.ipni.org/n/77123767-1,tax_nov,IPNI,NA
Dichorisandra acaulis,6925,Dichorisandra acaulis,79476-2,Commelinaceae,Dichorisandra,acaulis,spec.,"Ill. Hort. 41: 297, pl. 19. 1894 ",Ill. Hort.,1894,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=297&rft.volume=41&rft_id=http://www.biodiversitylibrary.org/bibliography/131&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/79476-2,tax_nov,IPNI,NA
Dichorisandra aonae,624473,Dichorisandra aonae,77319981-1,Commelinaceae,Dichorisandra,aonae,spec.,Rodriguésia 73(e00522021): 18. 2022 [epublished],Rodriguésia,2022,"Espírito Santo (Brazil Southeast, Brazil, Southern America)",NA,doi:10.1590/2175-7860202273029 Etymology: 'The specific epithet honors Dr. Lidyanne Yuriko Saleme Aona (Universidade Federal do Recôncavo da Bahia) for her contributions to the taxonomy of Dichorisandra'.,www.ipni.org/n/77319981-1,tax_nov,IPNI,https://doi.org/10.1590/2175-7860202273029
Dichorisandra bahiensis,582886,Dichorisandra bahiensis,77156288-1,Commelinaceae,Dichorisandra,bahiensis,spec.,Brittonia 68(1): 65. 2015 [20 Oct 2015] [epublished],Brittonia,2015,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.1007/s12228-015-9397-x,www.ipni.org/n/77156288-1,tax_nov,IPNI,https://doi.org/10.1007/s12228-015-9397-x
