name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Aeginetia capitata,71418,Aeginetia capitata,742942-1,Rubiaceae,Aeginetia,capitata,spec.,Edinburgh New Philos. J. 4: 389. 1828 [Apr 1828] ,Edinburgh New Philos. J.,1828,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=389&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/33987&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/742942-1,tax_nov,IPNI,NA
Alibertia amplexicaulis,32512,Alibertia amplexicaulis,8378-2,Rubiaceae,Alibertia,amplexicaulis,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 370. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/8378-2,tax_nov,IPNI,NA
Alibertia bertierifolia,24375,Alibertia bertierifolia,8380-2,Rubiaceae,Alibertia,bertierifolia,spec.,Fl. Bras. (Martius) 6(6): 384. 1889 [15 Jun 1889] ,Fl. Bras. (Martius),1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141093&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8380-2,tax_nov,IPNI,NA
Alibertia gardneri,38640,Alibertia gardneri,8388-2,Rubiaceae,Alibertia,gardneri,spec.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 8: 354. 1931 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1931,"Piaui (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1931&rft.spage=354&rft.volume=8&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8388-2,tax_nov,IPNI,NA
Alibertia hadrantha,24412,Alibertia hadrantha,8390-2,Rubiaceae,Alibertia,hadrantha,spec.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 11: 177. 1936 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1936,"Acre (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=177&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8390-2,tax_nov,IPNI,NA
Alibertia humilis,26062,Alibertia humilis,8394-2,Rubiaceae,Alibertia,humilis,spec.,Fl. Bras. (Martius) 6(6): 391. 1889 [15 Jun 1889] ,Fl. Bras. (Martius),1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141097&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8394-2,tax_nov,IPNI,NA
Alibertia longiflora,38642,Alibertia longiflora,8402-2,Rubiaceae,Alibertia,longiflora,spec.,Fl. Bras. (Martius) 6(6): 412. 1889 [15 Jun 1889] ,Fl. Bras. (Martius),1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141107&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8402-2,tax_nov,IPNI,NA
Alibertia macrantha,38643,Alibertia macrantha,8404-2,Rubiaceae,Alibertia,macrantha,spec.,"Publ. Field Mus. Nat. Hist., Bot. Ser. 11: 178. 1936 ","Publ. Field Mus. Nat. Hist., Bot. Ser.",1936,"Amazonas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1936&rft.spage=178&rft.volume=11&rft_id=http://www.biodiversitylibrary.org/bibliography/42246&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8404-2,tax_nov,IPNI,NA
Alibertia macrophylla,32513,Alibertia macrophylla,8405-2,Rubiaceae,Alibertia,macrophylla,spec.,Fl. Bras. (Martius) 6(6): 394. 1889 [15 Jun 1889] ,Fl. Bras. (Martius),1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141098&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8405-2,tax_nov,IPNI,NA
Alibertia obtusa,32514,Alibertia obtusa,8409-2,Rubiaceae,Alibertia,obtusa,spec.,Fl. Bras. (Martius) 6(6): 393. 1889 [15 Jun 1889] ,Fl. Bras. (Martius),1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141098&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8409-2,tax_nov,IPNI,NA
Alibertia occidentalis,87444,Alibertia occidentalis,77175921-1,Rubiaceae,Alibertia,occidentalis,spec.,Fl. Neotrop. Monogr. 119: 100. 2017 [27 Sep 2017] ,Fl. Neotrop. Monogr.,2017,"Ecuador (Western South America, Southern America);Peru (Western South America, Southern America);Acre (Brazil North, Brazil, Southern America);Amazonas (Brazil North, Brazil, Southern America);Bolivia (Western South America, Southern America);",NA,NA,www.ipni.org/n/77175921-1,tax_nov,IPNI,NA
Alibertia oligantha,38645,Alibertia oligantha,8410-2,Rubiaceae,Alibertia,oligantha,spec.,Fl. Bras. (Martius) 6(6): 385. 1889 [15 Jun 1889] ,Fl. Bras. (Martius),1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141094&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8410-2,tax_nov,IPNI,NA
Alibertia rigida,20683,Alibertia rigida,8413-2,Rubiaceae,Alibertia,rigida,spec.,Fl. Bras. (Martius) 6(6): 391. 1889 [15 Jun 1889] ,Fl. Bras. (Martius),1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/141097&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8413-2,tax_nov,IPNI,NA
Alibertia sorbilis,24382,Alibertia sorbilis,8417-2,Rubiaceae,Alibertia,sorbilis,spec.,Arch. Jard. Bot. Rio de Janeiro 3: 261. 1922 ,Arch. Jard. Bot. Rio de Janeiro,1922,Brazil (Southern America),NA,NA,www.ipni.org/n/8417-2,tax_nov,IPNI,NA
Alibertia stricta,71434,Alibertia stricta,8420-2,Rubiaceae,Alibertia,stricta,spec.,"Anz. Akad. Wiss. Wien, Math.-Naturwiss. Kl. 60: [79]. 1924 ","Anz. Akad. Wiss. Wien, Math.-Naturwiss. Kl.",1924,"Sao Paulo (Brazil, Southern America)",NA,NA,www.ipni.org/n/8420-2,tax_nov,IPNI,NA
