name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Acanthostachys ananassoides,45494,Acanthostachys ananassoides,1707-2,Bromeliaceae,Acanthostachys,ananassoides,spec.,Handb. Bromel. 25. 1889 [Aug-Oct 1889] ,Handb. Bromel.,1889,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1889&rft.spage=25&rft_id=http://www.biodiversitylibrary.org/bibliography/51681&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1707-2,tax_nov,IPNI,NA
Acanthostachys calcicola,619779,Acanthostachys calcicola,77214607-1,Bromeliaceae,Acanthostachys,calcicola,spec.,Phytotaxa 472(2): 202. 2020 [23 Nov 2020] [epublished],Phytotaxa,2020,"Tocantins (Brazil North, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.472.2.10 The specific epithet refers to the rocky limestone outcrops with which this species is associated.,www.ipni.org/n/77214607-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.472.2.10
Aechmea aguadocensis,119829,Aechmea aguadocensis,60452848-2,Bromeliaceae,Aechmea,aguadocensis,spec.,J. Bromeliad Soc. 59(2): 56 (-61; figs. 1-4). 2009 [Jun 2009] ,J. Bromeliad Soc.,2009,"Espirito Santo (Brazil, Southern America)",NA,NA,www.ipni.org/n/60452848-2,tax_nov,IPNI,NA
Aechmea aiuruocensis,124230,Aechmea aiuruocensis,77110389-1,Bromeliaceae,Aechmea,aiuruocensis,spec.,"Phytotaxa 16: 3 (-6; fig. 1C-E, 3A-H). 2011 [4 Feb 2011] ",Phytotaxa,2011,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,NA,www.ipni.org/n/77110389-1,tax_nov,IPNI,NA
Aechmea alba,5754,Aechmea alba,271642-2,Bromeliaceae,Aechmea,alba,spec.,Fl. Bras. (Martius) 3(3): 375. 1892 [15 May 1892] ,Fl. Bras. (Martius),1892,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/136527&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271642-2,tax_nov,IPNI,NA
Aechmea alegrensis,34189,Aechmea alegrensis,271643-2,Bromeliaceae,Aechmea,alegrensis,spec.,"Feddes Repert. 97: 108, fig. 1986 ",Feddes Repert.,1986,Brazil (Southern America),NA,NA,www.ipni.org/n/271643-2,tax_nov,IPNI,NA
Aechmea alopecurus,5755,Aechmea alopecurus,271645-2,Bromeliaceae,Aechmea,alopecurus,spec.,Fl. Bras. (Martius) 3(3): 367. 1892 [15 May 1892] ,Fl. Bras. (Martius),1892,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/136523&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271645-2,tax_nov,IPNI,NA
Aechmea altocaririensis,128899,Aechmea altocaririensis,77110390-1,Bromeliaceae,Aechmea,altocaririensis,spec.,"Phytotaxa 16: 6(-9; fig. 2A-B, 3I-M). 2011 [4 Feb 2011] ",Phytotaxa,2011,"Minas Gerais (Brazil Southeast, Brazil, Southern America);Bahia (Brazil Northeast, Brazil, Southern America);",NA,NA,www.ipni.org/n/77110390-1,tax_nov,IPNI,NA
Aechmea amazonica,45497,Aechmea amazonica,271646-2,Bromeliaceae,Aechmea,amazonica,spec.,Verh. Bot. Vereins Prov. Brandenburg 48: 136. 1907 ,Verh. Bot. Vereins Prov. Brandenburg,1907,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1907&rft.spage=136&rft.volume=48&rft_id=http://www.biodiversitylibrary.org/bibliography/49731&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/271646-2,tax_nov,IPNI,NA
Aechmea amicorum,5756,Aechmea amicorum,325412-2,Bromeliaceae,Aechmea,amicorum,spec.,J. Bromeliad Soc. 52(5): 221 (-225; figs. 16-18). 2002 [Dec 2002?] ,J. Bromeliad Soc.,2002,"Porto Seguro, south to Trancoso, about 50 m, Bahia (Brazil, Southern America)",NA,"Type collection, originally collected on 19 Aug 1995, flowerd at the Marie Selby Botanical Garden; specific epithet refers to: the long friendship of the (type) co-collectors",www.ipni.org/n/325412-2,tax_nov,IPNI,NA
