name,family,genus,species,rank,reference,publication,publicationYear,distribution,id,bhlLink,remarks,url,citationType,source,doi
Allamanda calcicola,Apocynaceae,Allamanda,calcicola,spec.,Kew Bull. 64(1): 171 (-174; figs. 1-2). 2009 [May 2009] ,Kew Bull.,2009,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);",77098650-1,NA,NA,www.ipni.org/n/77098650-1,tax_nov,IPNI,NA
Allamanda laevis,Apocynaceae,Allamanda,laevis,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 15: 131. 1940 ,Notizbl. Bot. Gart. Berlin-Dahlem,1940,"Minas Gerais (Brazil, Southern America)",8533-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1940&rft.spage=131&rft.volume=15&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8533-2,tax_nov,IPNI,NA
Allamanda nobilis,Apocynaceae,Allamanda,nobilis,spec.,"Gard. Chron. 1868: 180, 918. ",Gard. Chron.,1868,Brazil (Southern America),8535-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1868&rft.spage=180&rft.volume=1868&rft_id=http://www.biodiversitylibrary.org/bibliography/48390&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/8535-2,tax_nov,IPNI,NA
Ambelania camporum,Apocynaceae,Ambelania,camporum,spec.,Bull. Soc. Bot. France 57(Mém. 3e): 449. 1910 ,Bull. Soc. Bot. France,1910,Brazil (Southern America),10945-2,NA,NA,www.ipni.org/n/10945-2,tax_nov,IPNI,NA
Ambelania cuneata,Apocynaceae,Ambelania,cuneata,spec.,Fl. Bras. (Martius) 6(1): 17. 1860 [30 Jul 1860] ,Fl. Bras. (Martius),1860,Brazil (Southern America),272039-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139344&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/272039-2,tax_nov,IPNI,NA
Ambelania duckei,Apocynaceae,Ambelania,duckei,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 296. 1935 ,Notizbl. Bot. Gart. Berlin-Dahlem,1935,"Amazonas (Brazil, Southern America)",10947-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=296&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/10947-2,tax_nov,IPNI,NA
Ambelania grandiflora,Apocynaceae,Ambelania,grandiflora,spec.,Bol. Mus. Paraense Hist. Nat. Ethnogr. 3: 444. 1902 ,Bol. Mus. Paraense Hist. Nat. Ethnogr.,1902,Brazil (Southern America),272040-2,NA,NA,www.ipni.org/n/272040-2,tax_nov,IPNI,NA
Ambelania longiloba,Apocynaceae,Ambelania,longiloba,spec.,Brittonia 23: 441. 1971 ,Brittonia,1971,Brazil (Southern America),272041-2,NA,NA,www.ipni.org/n/272041-2,tax_nov,IPNI,NA
Ambelania macrophylla,Apocynaceae,Ambelania,macrophylla,spec.,Fl. Bras. (Martius) 6(1): 18. 1860 [30 Jul 1860] ,Fl. Bras. (Martius),1860,Brazil (Southern America),272042-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/139344&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/272042-2,tax_nov,IPNI,NA
Ambelania zschokkeiformis,Apocynaceae,Ambelania,zschokkeiformis,spec.,Notizbl. Bot. Gart. Berlin-Dahlem 12: 295. 1935 ,Notizbl. Bot. Gart. Berlin-Dahlem,1935,Brazil (Southern America),10959-2,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1935&rft.spage=295&rft.volume=12&rft_id=http://www.biodiversitylibrary.org/bibliography/41365&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/10959-2,tax_nov,IPNI,NA
