name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Aosa sigmoidea,120042,Aosa sigmoidea,318444-2,Loasaceae,Aosa,sigmoidea,spec.,"Nordic J. Bot. 19(2): 213 (-216, fig.). 1999 ",Nordic J. Bot.,1999,"15 km on road W of Januaria on road to Serra das Araras, hill of raw, jagged limestone and tall forest at its base, 575-650 m, Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/318444-2,tax_nov,IPNI,NA
Blumenbachia amana,582761,Blumenbachia amana,77151637-1,Loasaceae,Blumenbachia,amana,spec.,Phytotaxa 236(2): 197. 2015 [27 Nov 2015] [epublished],Phytotaxa,2015,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,"doi:10.11646/phytotaxa.236.2.9 ; the epithet “amana”, from the Indian Tupi language, means rain and refers both to the indigenous name and to the climatic conditions of the region",www.ipni.org/n/77151637-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.236.2.9
Blumenbachia catharinensis,8623,Blumenbachia catharinensis,34012-2,Loasaceae,Blumenbachia,catharinensis,spec.,Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 76: 355. 1900 ,Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.,1900,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1900&rft.spage=355&rft.volume=76&rft_id=http://www.biodiversitylibrary.org/bibliography/12266&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/34012-2,tax_nov,IPNI,NA
Blumenbachia eichleri,8624,Blumenbachia eichleri,34016-2,Loasaceae,Blumenbachia,eichleri,spec.,"Fl. Bras. (Martius) 13(3): 218, t. 55. 1889 [15 Aug 1889] ",Fl. Bras. (Martius),1889,"Santa Catarina (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142451&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi; Weigend, Sendtnera 4: 211. 1997]",www.ipni.org/n/34016-2,tax_nov,IPNI,NA
Blumenbachia exalata,8625,Blumenbachia exalata,1007433-1,Loasaceae,Blumenbachia,exalata,spec.,Taxon 55(2): 464. 2006 [22 Jun 2006] ,Taxon,2006,"Rio Grande do Sul (Brazil South, Brazil, Southern America)",NA,"Weigend: Nasa and the Conquest of South America - Systematic Rearrangements in Loasaceae (1997) is an ineffectively published dissertation, see Art. 30.5 Ex. 10 ICBN (2006).",www.ipni.org/n/1007433-1,tax_nov,IPNI,NA
Blumenbachia latifolia,8626,Blumenbachia latifolia,545001-1,Loasaceae,Blumenbachia,latifolia,spec.,Fl. Bras. Merid. (A. St.-Hil.). 2(16) 209.(ed. qto.); 151 (ed. fol.). 1830 [Oct-Nov 1830] ,Fl. Bras. Merid. (A. St.-Hil.).,1830,Brazil (Southern America),NA,NA,www.ipni.org/n/545001-1,tax_nov,IPNI,NA
Gripidea asperata,613452,Gripidea asperata,313820-2,Loasaceae,Gripidea,asperata,spec.,Trans. Linn. Soc. London 25: 235. 1865 ,Trans. Linn. Soc. London,1865,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1865&rft.spage=235&rft.volume=25&rft_id=http://www.biodiversitylibrary.org/bibliography/683&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"LT. (bibliographic type): Vell. (l.c.), t. 96.¹nom. nov. for Mentzelia aspera Vell. 1825 (later homonym;¹non L. 1753). [Gandhi; Weigend, Sendtnera 4: 211. 1997]",www.ipni.org/n/313820-2,tax_nov,IPNI,NA
Gripidea scabra,613451,Gripidea scabra,113646-2,Loasaceae,Gripidea,scabra,spec.,Trans. Linn. Soc. London 25: 235. 1865 ,Trans. Linn. Soc. London,1865,"Sao Paulo (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1865&rft.spage=235&rft.volume=25&rft_id=http://www.biodiversitylibrary.org/bibliography/683&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi; Weigend, Sentnera 4: 211. 1997]",www.ipni.org/n/113646-2,tax_nov,IPNI,NA
Loasa gilgiana,19304,Loasa gilgiana,141951-2,Loasaceae,Loasa,gilgiana,spec.,Bot. Jahrb. Syst. 42(2-3): 231. 1908 [29 Dec 1908] ,Bot. Jahrb. Syst.,1908,"Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1908&rft.spage=231&rft.volume=42&rft_id=http://www.biodiversitylibrary.org/bibliography/60&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"[Gandhi; Weigend, Sendtnera 4: 213. 1997]",www.ipni.org/n/141951-2,tax_nov,IPNI,NA
Loasa parviflora,8620,Loasa parviflora,313821-2,Loasaceae,Loasa,parviflora,spec.,Prodr. [A. P. de Candolle] 3: 342. 1828 [mid Mar 1828] ,Prodr. [A. P. de Candolle],1828,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/153144&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi; Sendtnera 4: 212. 1997],www.ipni.org/n/313821-2,tax_nov,IPNI,NA
