name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Acalypha almadinensis,613951,Acalypha almadinensis,77200866-1,Euphorbiaceae,Acalypha,almadinensis,spec.,Syst. Bot. 44(2): 346. 2019 [30 May 2019] [epublished],Syst. Bot.,2019,"Bahia (Brazil Northeast, Brazil, Southern America);Minas Gerais (Brazil Southeast, Brazil, Southern America);",NA,doi:10.1600/036364419X15562052252171,www.ipni.org/n/77200866-1,tax_nov,IPNI,https://doi.org/10.1600/036364419X15562052252171
Acalypha amphigyne,53720,Acalypha amphigyne,1098-2,Euphorbiaceae,Acalypha,amphigyne,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 467. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/1098-2,tax_nov,IPNI,NA
Acalypha ampliata,35606,Acalypha ampliata,1099-2,Euphorbiaceae,Acalypha,ampliata,spec.,"Pflanzenr. (Engler) 4, Fam. 147, xvi: 138. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),NA,NA,www.ipni.org/n/1099-2,tax_nov,IPNI,NA
Acalypha apetiolata,35607,Acalypha apetiolata,306764-2,Euphorbiaceae,Acalypha,apetiolata,spec.,Revista Brasil. Biol. 37: 85-86          fig. 1977 ,Revista Brasil. Biol.,1977,"Rio Grande do Sul (Brazil, Southern America)",NA,NA,www.ipni.org/n/306764-2,tax_nov,IPNI,NA
Acalypha aspericocca,35609,Acalypha aspericocca,1119-2,Euphorbiaceae,Acalypha,aspericocca,spec.,"Pflanzenr. (Engler) 4, Fam. 147, xvi: 112. 1924 ",Pflanzenr. (Engler),1924,Brazil (Southern America),NA,NA,www.ipni.org/n/1119-2,tax_nov,IPNI,NA
Acalypha brasiliensis,17440,Acalypha brasiliensis,1133-2,Euphorbiaceae,Acalypha,brasiliensis,spec.,Escritos Damaso Antonio Larranaga 1: 407. 1922 as Acalipha²Pub. Inst. Hist. Geog. Uruguay,Escritos Damaso Antonio Larranaga,1922,Brazil (Southern America),NA,NA,www.ipni.org/n/1133-2,tax_nov,IPNI,NA
Acalypha fragilis,35613,Acalypha fragilis,1263-2,Euphorbiaceae,Acalypha,fragilis,spec.,Repert. Spec. Nov. Regni Veg. 41: 226. 1937 ,Repert. Spec. Nov. Regni Veg.,1937,"Ceará (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1937&rft.spage=226&rft.volume=41&rft_id=http://www.biodiversitylibrary.org/bibliography/276&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1263-2,tax_nov,IPNI,NA
Acalypha goyazensis,53790,Acalypha goyazensis,1277-2,Euphorbiaceae,Acalypha,goyazensis,spec.,Bull. Soc. Bot. France 59(Mém. 3g): 623. 1913 ,Bull. Soc. Bot. France,1913,Brazil (Southern America),NA,NA,www.ipni.org/n/1277-2,tax_nov,IPNI,NA
Acalypha humilis,53806,Acalypha humilis,1318-2,Euphorbiaceae,Acalypha,humilis,spec.,Repert. Spec. Nov. Regni Veg. 8: 162. 1910 ,Repert. Spec. Nov. Regni Veg.,1910,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/231880&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/1318-2,tax_nov,IPNI,NA
Acalypha inselbergensis,614359,Acalypha inselbergensis,77185861-1,Euphorbiaceae,Acalypha,inselbergensis,spec.,Phytotaxa 356(2): 162. 2018 [14 Jun 2018] [epublished],Phytotaxa,2018,"Pernambuco (Brazil Northeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.356.2.5,www.ipni.org/n/77185861-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.356.2.5
