name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Achras venosa,75423,Achras venosa,311607-2,Sapotaceae,Achras,venosa,spec.,"Flora 22(no. 1, Beibl. 1): 4. 1839 ",Flora,1839,"Minas Gerais (Brazil, Southern America)",NA,NA,www.ipni.org/n/311607-2,tax_nov,IPNI,NA
Achrouteria durifructa,75425,Achrouteria durifructa,2462-2,Sapotaceae,Achrouteria,durifructa,spec.,"Acta Amazonica 4(3): 15, fig. 2. 1974 ",Acta Amazonica,1974,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/2462-2,tax_nov,IPNI,NA
Barylucuma decussata,75435,Barylucuma decussata,307739-2,Sapotaceae,Barylucuma,decussata,spec.,"Arch. Jard. Bot. Rio de Janeiro 4: 161, tab. 19. 1925 ",Arch. Jard. Bot. Rio de Janeiro,1925,"Pará (Brazil, Southern America)",NA,NA,www.ipni.org/n/307739-2,tax_nov,IPNI,NA
Bumelia amazonica,75439,Bumelia amazonica,38127-2,Sapotaceae,Bumelia,amazonica,spec.,Notizbl. Königl. Bot. Gart. Berlin 6: 170. 1914 ,Notizbl. Königl. Bot. Gart. Berlin,1914,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1914&rft.spage=170&rft.volume=6&rft_id=http://www.biodiversitylibrary.org/bibliography/41384&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/38127-2,tax_nov,IPNI,NA
Bumelia excelsa,75442,Bumelia excelsa,310583-2,Sapotaceae,Bumelia,excelsa,spec.,Prodr. [A. P. de Candolle] 8: 192. 1844 [mid Mar 1844] ,Prodr. [A. P. de Candolle],1844,"Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/163148&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/310583-2,tax_nov,IPNI,NA
Bumelia fragrans,75443,Bumelia fragrans,38163-2,Sapotaceae,Bumelia,fragrans,spec.,"J. Linn. Soc., Bot. 27: 43. 1890 ","J. Linn. Soc., Bot.",1890,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1890&rft.spage=43&rft.volume=27&rft_id=http://www.biodiversitylibrary.org/bibliography/350&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/38163-2,tax_nov,IPNI,NA
Bumelia sartorum,75452,Bumelia sartorum,38253-2,Sapotaceae,Bumelia,sartorum,spec.,"Flora 22(1, Beibl.): 57 (-58). 1839 ",Flora,1839,"Bahia (Brazil, Southern America)",NA,NA,www.ipni.org/n/38253-2,tax_nov,IPNI,NA
Calocarpum odoratum,75461,Calocarpum odoratum,307806-2,Sapotaceae,Calocarpum,odoratum,spec.,Trop. Woods 76: 27. 1943 ,Trop. Woods,1943,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/307806-2,tax_nov,IPNI,NA
Chloroluma saldanhaei,75476,Chloroluma saldanhaei,56990-2,Sapotaceae,Chloroluma,saldanhaei,spec.,Adansonia (n. s.) 4: 228. 1964 ,Adansonia,1964,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1964&rft.spage=228&rft.volume=4&rft_id=http://www.biodiversitylibrary.org/bibliography/600&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/56990-2,tax_nov,IPNI,NA
Chromolucuma apiculata,127098,Chromolucuma apiculata,60458190-2,Sapotaceae,Chromolucuma,apiculata,spec.,"Brittonia 64(1): 27, figs. 1E–H, 2D–E, 3. 2012 [1 Mar 2012] ",Brittonia,2012,"Bahia (Brazil, Southern America)",NA,Etymology: This species is named for the characteristic apiculate stipules. doi:10.1007/s12228-011-9195-z,www.ipni.org/n/60458190-2,tax_nov,IPNI,https://doi.org/10.1007/s12228-011-9195-z
